ecurr = -11.694375, pn_right = 4.118569075e+21, pn_left = 4.056359729e+21, f = 0.007609772236
ecurr = -11.69375, pn_right = 4.095278931e+21, pn_left = 4.067033864e+21, f = 0.003460424471
ecurr = -11.693125, pn_right = 4.072054703e+21, pn_left = 4.077662098e+21, f = -0.0006880477736
ecurr = -11.6925, pn_right = 4.048896242e+21, pn_left = 4.088244549e+21, f = -0.004835642851
ecurr = -11.6928125, pn_right = 4.060467261e+21, pn_left = 4.082959039e+21, f = -0.002761955061
ecurr = -11.693125, pn_right = 4.072054703e+21, pn_left = 4.077662098e+21, f = -0.0006880477736
ecurr = -11.6934375, pn_right = 4.083658587e+21, pn_left = 4.072353711e+21, f = 0.001386078806
ecurr = -11.69328125, pn_right = 4.077854589e+21, pn_left = 4.075009336e+21, f = 0.0003489881174
ecurr = -11.693125, pn_right = 4.072054703e+21, pn_left = 4.077662098e+21, f = -0.0006880477736
ecurr = -11.69320313, pn_right = 4.074954132e+21, pn_left = 4.076336075e+21, f = -0.0001695366794
ecurr = -11.69328125, pn_right = 4.077854589e+21, pn_left = 4.075009336e+21, f = 0.0003489881174
ecurr = -11.69324219, pn_right = 4.076404232e+21, pn_left = 4.075672795e+21, f = 8.972400641e-05
ecurr = -11.69320313, pn_right = 4.074954132e+21, pn_left = 4.076336075e+21, f = -0.0001695366794
ecurr = -11.69322266, pn_right = 4.07567915e+21, pn_left = 4.076004457e+21, f = -3.990676465e-05
ecurr = -11.69324219, pn_right = 4.076404232e+21, pn_left = 4.075672795e+21, f = 8.972400641e-05
ecurr = -11.69323242, pn_right = 4.076041683e+21, pn_left = 4.075838632e+21, f = 2.490851384e-05
ecurr = -11.69322266, pn_right = 4.07567915e+21, pn_left = 4.076004457e+21, f = -3.990676465e-05
ecurr = -11.69322754, pn_right = 4.075860414e+21, pn_left = 4.075921546e+21, f = -7.499152179e-06
ecurr = -11.69323242, pn_right = 4.076041683e+21, pn_left = 4.075838632e+21, f = 2.490851383e-05
ecurr = -11.69322998, pn_right = 4.075951048e+21, pn_left = 4.075880089e+21, f = 8.704674135e-06
ecurr = -11.69322754, pn_right = 4.075860414e+21, pn_left = 4.075921546e+21, f = -7.499152191e-06
ecurr = -11.6932251, pn_right = 4.075769781e+21, pn_left = 4.075963002e+21, f = -2.370296512e-05
ecurr = -11.69322632, pn_right = 4.075815098e+21, pn_left = 4.075942274e+21, f = -1.560106033e-05
ecurr = -11.69322754, pn_right = 4.075860414e+21, pn_left = 4.075921546e+21, f = -7.499152187e-06
ecurr = -11.69322876, pn_right = 4.075905731e+21, pn_left = 4.075900817e+21, f = 6.027592846e-07
it = 169, e = -11.6932288, de = -1.22070313e-06, f = -7.49915219e-06
Normalizing...
norm = 2.53616667e+45
<T> = 3.78415292
