ecurr = -4.361875, pn_right = -2.625572816e+11, pn_left = -2.625728144e+11, f = -2.957906314e-05
ecurr = -4.3621875, pn_right = -2.631243987e+11, pn_left = -2.626981378e+11, f = 0.0008106553325
ecurr = -4.36203125, pn_right = -2.628407106e+11, pn_left = -2.626354939e+11, f = 0.0003905347151
ecurr = -4.361875, pn_right = -2.625572816e+11, pn_left = -2.625728144e+11, f = -2.957906314e-05
ecurr = -4.36171875, pn_right = -2.622741113e+11, pn_left = -2.625100995e+11, f = -0.000449685997
ecurr = -4.361796875, pn_right = -2.624156641e+11, pn_left = -2.625414614e+11, f = -0.0002396333859
ecurr = -4.361875, pn_right = -2.625572816e+11, pn_left = -2.625728144e+11, f = -2.957906314e-05
ecurr = -4.361953125, pn_right = -2.626989637e+11, pn_left = -2.626041586e+11, f = 0.0001804769707
ecurr = -4.361914063, pn_right = -2.626281146e+11, pn_left = -2.625884876e+11, f = 7.544873996e-05
ecurr = -4.361875, pn_right = -2.625572816e+11, pn_left = -2.625728144e+11, f = -2.957906314e-05
ecurr = -4.361835938, pn_right = -2.624864648e+11, pn_left = -2.62557139e+11, f = -0.0001346064385
ecurr = -4.361855469, pn_right = -2.625218711e+11, pn_left = -2.62564977e+11, f = -8.209280428e-05
ecurr = -4.361875, pn_right = -2.625572816e+11, pn_left = -2.625728144e+11, f = -2.957906313e-05
ecurr = -4.361894531, pn_right = -2.62592696e+11, pn_left = -2.625806513e+11, f = 2.293478495e-05
ecurr = -4.361914063, pn_right = -2.626281146e+11, pn_left = -2.625884876e+11, f = 7.544873997e-05
ecurr = -4.361904297, pn_right = -2.626104048e+11, pn_left = -2.625845695e+11, f = 4.919174909e-05
ecurr = -4.361894531, pn_right = -2.62592696e+11, pn_left = -2.625806513e+11, f = 2.293478495e-05
ecurr = -4.361884766, pn_right = -2.625749883e+11, pn_left = -2.625767329e+11, f = -3.322152459e-06
ecurr = -4.361875, pn_right = -2.625572816e+11, pn_left = -2.625728144e+11, f = -2.957906313e-05
ecurr = -4.361879883, pn_right = -2.625661348e+11, pn_left = -2.625747737e+11, f = -1.645061114e-05
ecurr = -4.361884766, pn_right = -2.625749883e+11, pn_left = -2.625767329e+11, f = -3.322152459e-06
ecurr = -4.361889648, pn_right = -2.62583842e+11, pn_left = -2.625786921e+11, f = 9.8063129e-06
ecurr = -4.361887207, pn_right = -2.625794151e+11, pn_left = -2.625777125e+11, f = 3.242079386e-06
ecurr = -4.361884766, pn_right = -2.625749883e+11, pn_left = -2.625767329e+11, f = -3.322152457e-06
ecurr = -4.361885986, pn_right = -2.625772017e+11, pn_left = -2.625772227e+11, f = -4.00367431e-08
it = 203, e = -4.36188599, de = -1.22070313e-06, f = -3.32215246e-06
Normalizing...
norm = 1.57875557e+24
<T> = 9.41459676
