ecurr = -0.184453125, pn_right = 0.2043382502, pn_left = 0.2042730524, f = 0.0001595596571
ecurr = -0.18453125, pn_right = 0.2046716388, pn_left = 0.2047173822, f = -0.0001117359057
ecurr = -0.184609375, pn_right = 0.2050055, pn_left = 0.2051625954, f = -0.0003830025374
ecurr = -0.1845703125, pn_right = 0.2048385103, pn_left = 0.2049398783, f = -0.0002473728368
ecurr = -0.18453125, pn_right = 0.2046716388, pn_left = 0.2047173822, f = -0.0001117359057
ecurr = -0.1844921875, pn_right = 0.2045048855, pn_left = 0.204495107, f = 2.390825824e-05
ecurr = -0.184453125, pn_right = 0.2043382502, pn_left = 0.2042730524, f = 0.0001595596571
ecurr = -0.1844726563, pn_right = 0.2044215531, pn_left = 0.2043840521, f = 9.173305317e-05
ecurr = -0.1844921875, pn_right = 0.2045048855, pn_left = 0.204495107, f = 2.390825824e-05
ecurr = -0.1845117188, pn_right = 0.2045882474, pn_left = 0.204606217, f = -4.391472796e-05
ecurr = -0.1845019531, pn_right = 0.2045465627, pn_left = 0.2045506551, f = -1.000346094e-05
ecurr = -0.1844921875, pn_right = 0.2045048855, pn_left = 0.204495107, f = 2.390825824e-05
ecurr = -0.1844970703, pn_right = 0.2045257232, pn_left = 0.2045228793, f = 6.952342124e-06
ecurr = -0.1845019531, pn_right = 0.2045465627, pn_left = 0.2045506551, f = -1.000346094e-05
ecurr = -0.1844995117, pn_right = 0.2045361427, pn_left = 0.2045367668, f = -1.525573539e-06
ecurr = -0.1844970703, pn_right = 0.2045257232, pn_left = 0.2045228793, f = 6.952342124e-06
ecurr = -0.184498291, pn_right = 0.2045309329, pn_left = 0.2045298229, f = 2.713380767e-06
ecurr = -0.1844995117, pn_right = 0.2045361427, pn_left = 0.2045367668, f = -1.525573539e-06
ecurr = -0.1845007324, pn_right = 0.2045413527, pn_left = 0.2045437108, f = -5.764520769e-06
ecurr = -0.1845001221, pn_right = 0.2045387477, pn_left = 0.2045402388, f = -3.645048034e-06
ecurr = -0.1844995117, pn_right = 0.2045361427, pn_left = 0.2045367668, f = -1.525573534e-06
ecurr = -0.1844989014, pn_right = 0.2045335378, pn_left = 0.2045332948, f = 5.939027311e-07
it = 192, e = -0.184498901, de = 6.10351563e-07, f = -1.52557353e-06
Normalizing...
norm = 0.0234417183
<T> = 7.32215029
